ID,Category,Requirement,Description,Acceptance Criteria,Priority,Phase,Dependencies,Status,Verified By,Verified Date
REQ-001,Infrastructure - LLM Gateway,LiteLLM Proxy as model gateway,"LiteLLM Proxy runs as a standalone service (Docker container), routing all LLM requests. Ollama is the default upstream provider for local SLMs.","1. LiteLLM Proxy starts via docker-compose and exposes an OpenAI-compatible endpoint (e.g. http://litellm:4000).
2. A virtual model alias ""default-agent"" resolves to qwen3.5:4b on Ollama.
3. Switching to a cloud model (e.g. gpt-4o) requires only a config change in LiteLLM, no code change in the agent.
4. LiteLLM tracks token usage, cost, and latency per request.
5. Budget caps can be set per virtual key; requests exceeding the cap are rejected with a 429.",P0 - Must Have,Phase 1,Ollama installed and running,Not Started,,
REQ-002,Infrastructure - LLM Gateway,Model aliasing and routing,"LiteLLM manages logical model profiles (e.g. default-agent, reasoning-large, reviewer) that map to physical model deployments.","1. At least 3 virtual aliases defined: default-agent, reasoning-large, reviewer.
2. A single alias can map to multiple deployments (e.g. two Ollama instances of the same model for load balancing).
3. If one deployment hits a quota or fails, LiteLLM falls back to the next deployment automatically.
4. Alias-to-model mapping is stored in LiteLLM config, not application code.",P1 - Should Have,Phase 2,REQ-001,Not Started,,
REQ-003,Infrastructure - LLM Gateway,Multi-deployment and failover for a single model,"LiteLLM can manage multiple physical deployments behind a single alias, supporting load distribution and automatic failover.","1. Two deployments of qwen3.5:4b can be registered under one alias.
2. If deployment A returns 5xx or timeout, the request is retried on deployment B.
3. Round-robin or least-latency routing is configurable.
4. Failover events are logged to Langfuse.",P2 - Nice to Have,Phase 3,REQ-001; REQ-002,Not Started,,
REQ-004,Infrastructure - Observability,Self-hosted Langfuse via Docker Compose,"Langfuse runs as a self-hosted service (docker-compose) with its own Postgres database, providing trace/span/generation UI and evaluation capabilities.","1. Langfuse is accessible at http://localhost:3000 after docker-compose up.
2. Langfuse Postgres DB is separate from application Postgres.
3. Agent traces appear in the Langfuse UI within 5 seconds of generation.
4. Traces include: parent agent trace, child LLM generation spans, child tool-call spans, user_id, session_id, model name, token counts.",P0 - Must Have,Phase 1,None,Not Started,,
REQ-005,Infrastructure - Observability,Structured agentic trace per call,Each agentic call produces a hierarchical trace in Langfuse: agent-trace → planning-span → tool-call-spans → llm-generation-spans → final-answer-span.,"1. Parent trace carries: user_id, session_id, input query, final output, total latency, total tokens, total cost.
2. Each LLM generation span includes: model name, prompt tokens, completion tokens, latency, temperature.
3. Each tool-call span includes: tool name, input args, output/error, latency.
4. Traces are queryable by user, session, model, date, and tags.",P0 - Must Have,Phase 1,REQ-004,Not Started,,
REQ-006,Infrastructure - Observability,LiteLLM → Langfuse integration,"LiteLLM Proxy is configured to emit generation-level telemetry to Langfuse, so every LLM call is traced automatically.","1. LiteLLM config includes Langfuse callback with LANGFUSE_PUBLIC_KEY, LANGFUSE_SECRET_KEY, LANGFUSE_HOST.
2. Every LLM call made through LiteLLM appears as a generation in Langfuse with model, tokens, cost, latency.
3. LiteLLM-emitted generations are linked to the parent agent trace via trace_id passed in metadata.",P0 - Must Have,Phase 1,REQ-001; REQ-004,Not Started,,
REQ-007,Evaluation,Track A Benchmark and Track B Suite,Track A uses a TriviaQA subset for regression. Track B uses a 30-item internal agentic task suite with programmatic verifiers.,"1. Track A dataset (TriviaQA subset) loaded in Langfuse.
2. Track B dataset (30 custom agentic tasks) loaded.
3. Track B includes verifier scripts.
4. Idempotent loading.",P0 - Must Have,Phase 1,REQ-004,Not Started,,
REQ-008,Evaluation,Automated evaluation experiment runner,"A Python script runs the agent against the benchmark dataset, collects generated answers, computes evaluation metrics, and records scored results back to Langfuse as an experiment.","1. Script (scripts/run_evaluation.py) iterates over all dataset items.
2. For each item: calls the agent API, captures the generated answer, computes all metrics (REQ-009 through REQ-012), and writes scores to Langfuse.
3. Experiment results appear in the Langfuse Datasets/Experiments UI with per-item scores.
4. Script is idempotent: re-running creates a new experiment run, not duplicates.
5. Supports configurable concurrency (e.g. --workers 4).",P0 - Must Have,Phase 1,REQ-007; REQ-009; REQ-010; REQ-011; REQ-012; REQ-013,Not Started,,
REQ-009,Evaluation - Metric,Semantic similarity score,"Compute cosine similarity between sentence embeddings of expected and generated answers, yielding a 0.0-1.0 score.","1. Uses a local embedding model (e.g. all-MiniLM-L6-v2 via sentence-transformers or Ollama embeddings).
2. Score is a float in [0.0, 1.0].
3. Score is recorded per dataset item in Langfuse with key ""semantic_similarity"".
4. Avg/min/max scores are reported in the experiment summary.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-010,Evaluation - Metric,Length comparison ratio,"Compute the ratio of generated answer length to expected answer length (in tokens or characters), yielding a ratio value.","1. Ratio = len(generated) / len(expected); values > 1.0 mean verbose, < 1.0 mean terse.
2. Score recorded per item in Langfuse with key ""length_ratio"".
3. Outlier flag: items with ratio < 0.3 or > 3.0 are tagged as outliers.
4. Mean/median/stdev reported in experiment summary.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
